# ,Variable Name,Description,Source,Feature Set for Sample Size Analyses,Feature Set for Feature Set Analyses,% Missing
1,family_member_count_total,Number of all types of family members below,FAMILIENETWERKTAB \cite{statistics_netherlands_familienetwerktab_2026},"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
2,family_member_count_type_301,Number of parents (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
3,family_member_count_type_302,Number of people with whom one has had a child (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
4,family_member_count_type_303,Number of grandparents (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
5,family_member_count_type_304,Number of children (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
6,family_member_count_type_305,Number of grandchildren (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
7,family_member_count_type_306,Number of full siblings (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
8,family_member_count_type_307,Number of halfsiblings (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
9,family_member_count_type_308,"Number of siblings (biological or adopted), unknown whether full or half",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
10,family_member_count_type_309,"Number of cousins, children of parents' siblings (biological or adopted)",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
11,family_member_count_type_310,"Number of nieces and nephews, siblings' children (biological or adopted)",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
12,family_member_count_type_311,"Number of aunts and uncles, parents' siblings (biological or adopted)",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
13,family_member_count_type_312,Number of partners with whom one is married or have a registered partnership,FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
14,family_member_count_type_313,Number of cohabiting partners with whom one is not married or has a registered partnership,FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
15,family_member_count_type_314,"Number of parents-in-law, parents (biological or adopted) of cohabiting partners",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
16,family_member_count_type_315,Number of children-in-law (biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
17,family_member_count_type_316,"Number of siblings-in-law, siblings of cohabiting partners or cohabiting partners of siblings (biological or adopted)",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
18,family_member_count_type_317,Number of stepparents (not biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
19,family_member_count_type_318,Number of stepchildren (not biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
20,family_member_count_type_319,Number of stepsiblings (not biological or adopted),FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
21,family_member_count_type_320,Number of cousins'  (biological or adopted) partners,FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
22,family_member_count_type_321,"Number of nieces and nephews' partners, siblings' children's (biological or adopted) partners",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
23,family_member_count_type_322,"Number of aunts and uncles' partners, parents' siblings' (biological or adopted) partners",FAMILIENETWERKTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
24,children_of_sex_1,Number of male children (biological or adopted),"FAMILIENETWERKTAB, GBAPERSOONTAB \cite{statistics_netherlands_gbapersoontab_2026}","All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
25,children_of_sex_2,Number of female children (biological or adopted),"FAMILIENETWERKTAB, GBAPERSOONTAB","All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
26,stepchildren_of_sex_1,Number of male stepchildren (not biological or adopted),"FAMILIENETWERKTAB, GBAPERSOONTAB","All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
27,stepchildren_of_sex_2,Number of female stepchildren (not biological or adopted),"FAMILIENETWERKTAB, GBAPERSOONTAB","All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
28,AANTALKINDHH,"Number of children in the household (biological, adopted, or stepchild)",GBAHUISHOUDENSBUS \cite{statistics_netherlands_gbahuishoudensbus_2026},"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
29,GEBJAAROUDSTEKINDHH,"Birth year of oldest child in the household (biological, adopted, or stepchild)",GBAHUISHOUDENSBUS,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
30,GEBMAANDJONGSTEKINDHH,"Birth month of youngest child in the household (biological, adopted, or stepchild)",GBAHUISHOUDENSBUS,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
31,GEBMAANDOUDSTEKINDHH,"Birth month of oldest child in the household (biological, adopted, or stepchild)",GBAHUISHOUDENSBUS,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
32,PLHH,"Role in household, 10 categories (e.g., child living at home, single-person without children, single parent)",GBAHUISHOUDENSBUS,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
33,start_date_of_first_household_with_partner,Start date of cohabitation,GBAHUISHOUDENSBUS,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
34,live_in_partner_age,Age of cohabiting partner,"GBAHUISHOUDENSBUS, GBAPERSOONTAB","All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
35,live_in_partner_GBAGESLACHT,Sex of cohabiting partner,"GBAHUISHOUDENSBUS, GBAPERSOONTAB","All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
36,GBAGEBOORTEMAAND,Birth month,GBAPERSOONTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",
37,GBAGEBOORTEMAANDMOEDER,Mother's birth month,GBAPERSOONTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
38,GBAGEBOORTEMAANDVADER,Father's birth month,GBAPERSOONTAB,"All features from winning model; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
39,GBABURGERLIJKESTAATNW,"Civil status, 7 categories (e.g. married, registered partnership, divorced after marriage)",GBABURGERLIJKESTAATBUS \cite{statistics_netherlands_gbaburgerlijkestaatbus_2026},"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
40,GBAGEBOORTEJAARPARTNER,Partner's birth year,GBABURGERLIJKESTAATBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
41,GBAGEBOORTEMAANDPARTNER,Partner's birth month,GBABURGERLIJKESTAATBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
42,GBAGESLACHTPARTNER,Partner's sex,GBABURGERLIJKESTAATBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
43,marriages_total,Number of marriages,GBABURGERLIJKESTAATBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
44,partnerships_total,Number of partnerships,GBABURGERLIJKESTAATBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
45,AANTALOVHH,"Number of people in the household other than the sole householder, a partner, parent in a single-parent household, or a child",GBAHUISHOUDENSBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
46,AANTALPERSHH,Household size,GBAHUISHOUDENSBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
47,DATUMAANVANGHH,"Start date of last household spell (i.e., last household move or composition change)",GBAHUISHOUDENSBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
48,GEBJAARJONGSTEKINDHH,"Birth year of youngest child in the household (biological, adopted, or stepchild)",GBAHUISHOUDENSBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
49,TYPHH,"Household type based on relations and institutional vs. private households, 8 categories (e.g., single-member household, single-parent household, institutional household)",GBAHUISHOUDENSBUS,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
50,birthday,Birthday,GBAPERSOONTAB,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
51,GBAGEBOORTEJAAR,Birth year,GBAPERSOONTAB,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
52,GBAGEBOORTEJAARMOEDER,Mother's birth year,GBAPERSOONTAB,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
53,GBAGEBOORTEJAARVADER,Father's birth year,GBAPERSOONTAB,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
54,GBAGESLACHTMOEDER,Mother or same-sex parent's sex,GBAPERSOONTAB,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
55,GBAGESLACHTVADER,Father or same-sex parent's sex,GBAPERSOONTAB,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
56,age_youngest,Youngest child's age (biological or adopted),"GBAPERSOONTAB, KINDOUDERTAB \cite{statistics_netherlands_kindoudertab_2026}","All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
57,birthday_youngest,Youngest child's birthday (biological or adopted),"GBAPERSOONTAB, KINDOUDERTAB","All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",Structurally missing
58,children_pre2021,Number of children born before 2021 (biological or adopted),"GBAPERSOONTAB, KINDOUDERTAB","All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
59,AANVANGVERBINTENIS,Start date of civil status,GBAVERBINTENISPARTNERBUS \cite{statistics_netherlands_gbaverbintenispartnerbus_2025},"All features from winning model; ""Starter pack"" file; Age, sex, & family structure","Age, sex, & family structure",
60,GBAGESLACHT,Sex,GBAPERSOONTAB,"All features from winning model; ""Starter pack"" file; Age, sex, & family structure; Ego's age & sex","Age, sex, & family structure",
61,has_partner,Living with a partner,GBAHUISHOUDENSBUS,All features from winning model,,
62,IMPUTATIECODEHH,Household position imputation flag,GBAHUISHOUDENSBUS,All features from winning model,,
63,ego_age,Age,GBAPERSOONTAB,Ego's age & sex,,
64,INHARMEUR,"Household income relative to European poverty line in 2020, for non-institutional households",INHATAB \cite{statistics_netherlands_inhatab_2025},"All features from winning model; ""Starter pack"" file",Income,Structurally missing
65,INHARMEURL,"Household income relative to European poverty line from 2017 to 2020, for non-institutional households",INHATAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
66,INHBBIHJ,"Main source of the households income, 11 categories (e.g., wage, unemployment benefits, student grants)",INHATAB,"All features from winning model; ""Starter pack"" file",Income,
67,INHBRUTINKH,Gross household income in 2020,INHATAB,"All features from winning model; ""Starter pack"" file",Income,
68,INHUAF,"Percent degree of benefit dependence in 2020, for non-institutional households",INHATAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
69,INHUAFL,"Percent degree of benefit dependence from 2017 to 2020, for non-institutional households",INHATAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
70,INHUAFTYP,"Household type based on any main source of benefit and private vs. institutional households, 6 categories (e.g., no benefit, unemployment benefit, institutional household)",INHATAB,"All features from winning model; ""Starter pack"" file",Income,
71,INPBELI,Taxable personal income in 2020,INPATAB \cite{statistics_netherlands_inpatab_2025},"All features from winning model; ""Starter pack"" file",Income,
72,INPEMEZ,"Whether net personal income from work and business falls below 70% of minimum wage, for members of non-institutional households",INPATAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
73,INPEMFO,"Whether financially dependent as determined based on a personal income threshold, for members of non-institutional households",INPATAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
74,INPP100PBRUT,"Gross personal income percentile, for members of non-institutional households",INPATAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
75,INPP100PPERS,"Personal income percentile (not counting some items like spousal support receipt and income insurance premiums), for members of non-institutional households",INPATAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
76,INPPERSPRIM,Gross personal income from work and business in 2020,INPATAB,"All features from winning model; ""Starter pack"" file",Income,
77,INPPINK,Whether the person had income in 2020,INPATAB,"All features from winning model; ""Starter pack"" file",Income,
78,VEHP100HVERM,"Household assets percentile, for non-institutional households",VEHTAB \cite{statistics_netherlands_vehtab_2025},"All features from winning model; ""Starter pack"" file",Income,Structurally missing
79,VEHP100WELVAART,"Household income and assets percentile, for non-institutional households. Percentile of the sum of household share of national income and share of national assets.",VEHTAB,"All features from winning model; ""Starter pack"" file",Income,Structurally missing
80,VEHW1000VERH,"Household wealth, difference between assets and debts",VEHTAB,"All features from winning model; ""Starter pack"" file",Income,
81,VEHW1100BEZH,Total household assets,VEHTAB,"All features from winning model; ""Starter pack"" file",Income,
82,VEHW1110FINH,"Household financial assets, deposits and securities excluding company shares of at least 5%",VEHTAB,"All features from winning model; ""Starter pack"" file",Income,
83,VEHW1120ONRH,Household real estate assets,VEHTAB,"All features from winning model; ""Starter pack"" file",Income,
84,VEHW1130ONDH,Households business assets,VEHTAB,"All features from winning model; ""Starter pack"" file",Income,
85,VEHW1140ABEH,"Household substantial interest assets, company shares of at least 5%",VEHTAB,"All features from winning model; ""Starter pack"" file",Income,
